行政區,門市名稱,店舖代號,詳細地址,緯度(Latitude),經度(Longitude),營業時間,洗手間/公廁服務,內用休憩座位,Fami!ce霜淇淋,Let's Café咖啡,FamiPort事務機,ATM自動櫃員機,行動電源租借,Gogoro換電站,全部服務項目彙整,網站小卡文案簡介,特色標籤,站點代碼,Google地圖連結
麥寮鄉,全家麥寮橋頭店,18789,雲林縣麥寮鄉仁德路35號,23.771891,120.250891,24小時營業,提供 (洗手間/無障礙),提供 (大座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),提供 (Gogoro換電站),"洗手間,大座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro換電,台17線省道",台17線省道與橋頭商圈樞紐，空間大、設有 Gogoro 換電站，西濱騎士重要休息站。,"台17線省道,橋頭商圈,Gogoro,大座位區,水廁",FM-YL-044,"https://www.google.com/maps/search/?api=1&query=23.771891,120.250891"
麥寮鄉,全家麥寮六輕店,19912,雲林縣麥寮鄉工業路20號,23.770123,120.205678,24小時營業,提供 (特大顧客洗手間),提供 (大型休憩區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),提供 (Gogoro換電站),"大洗手間,大型座位,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro,六輕門戶,濱海強風避風",六輕工業區聯外幹道旗艦門市，海線極西公路段極具標誌性的避風與全能補給站。,"六輕門戶,極西濱海,Gogoro,特大洗手間,避風歇腳",FM-YL-045,"https://www.google.com/maps/search/?api=1&query=23.770123,120.205678"
臺西鄉,全家臺西中山店,17654,雲林縣臺西鄉中山路98號,23.702456,120.197123,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro,海口市區核心",臺西市街中心，深入海口故事館與極西彩繪村的24小時補給大本營，支援換電與水廁。,"臺西市區,海口故鄉,Gogoro,霜淇淋,洗手間",FM-YL-046,"https://www.google.com/maps/search/?api=1&query=23.702456,120.197123"
臺西鄉,全家臺西五港店,19743,雲林縣臺西鄉五港村中央路66號 (安西府旁),23.718765,120.176123,24小時營業,提供 (洗手間),提供 (海風景觀座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,安西府旁,海堤車道門戶",五條港安西府旁，濱海自行車道與風車海堤出發前的重要冰飲加水門市。,"五條港安西府,濱海車道,海風景觀,洗手間",FM-YL-047,"https://www.google.com/maps/search/?api=1&query=23.718765,120.176123"
東勢鄉,全家東勢東東店,17890,雲林縣東勢鄉東勢東路28號 (賜安宮旁),23.675891,120.254678,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro,賜安宮商圈",東勢市區賜安宮旁，胡蘿蔔故鄉核心門市，設有 Gogoro 換電站與乾淨公廁。,"胡蘿蔔之鄉,東勢市區,Gogoro,洗手間,霜淇淋",FM-YL-048,"https://www.google.com/maps/search/?api=1&query=23.675891,120.254678"
東勢鄉,全家東勢安南店,19854,雲林縣東勢鄉安南路35號,23.654512,120.231876,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,153縣道,田園中繼",縣道153線安南聚落門市，平原農村長征騎士便利的水廁加水站。,"安南聚落,153縣道,洗手間,霜淇淋",FM-YL-049,"https://www.google.com/maps/search/?api=1&query=23.654512,120.231876"
褒忠鄉,全家褒忠中勝店,17231,雲林縣褒忠鄉中勝路50號,23.693891,120.311876,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro,158縣道核心",褒忠市街中心，158縣道橫貫雲林平原之核心門市，換電、吃冰、洗手間一應俱全。,"褒忠市區,158縣道,Gogoro換電,洗手間,霜淇淋",FM-YL-050,"https://www.google.com/maps/search/?api=1&query=23.693891,120.311876"
褒忠鄉,全家褒忠馬鳴店,19932,雲林縣褒忠鄉鎮安路15號 (鎮安宮五年千歲公園旁),23.714512,120.310543,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,五年千歲公園旁",馬鳴山鎮安宮與五年千歲奇石公園旁門市，香客與單車旅遊絕佳休憩加水站。,"五年千歲公園旁,鎮安宮商圈,洗手間,霜淇淋",FM-YL-051,"https://www.google.com/maps/search/?api=1&query=23.714512,120.310543"
四湖鄉,全家四湖中山店,17543,雲林縣四湖鄉中山路42號 (參天宮商圈),23.637456,120.225123,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro,參天宮商圈,160縣道",四湖市區核心門市，參天宮關聖帝君廟旁，往三條崙海岸前必備補給與換電站。,"四湖市區,參天宮旁,Gogoro,160縣道,洗手間",FM-YL-052,"https://www.google.com/maps/search/?api=1&query=23.637456,120.225123"
四湖鄉,全家四湖三條崙店,19981,雲林縣四湖鄉海清路50號 (海清宮包公廟旁),23.651234,120.155891,24小時營業,提供 (洗手間),提供 (海濱座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,黑森林車道起點,海清宮旁",三條崙海清宮與黑森林自行車道旁，海濱騎士避風、如廁與補充熱量最佳據點。,"包公廟旁,黑森林車道,濱海地標,霜淇淋,洗手間",FM-YL-053,"https://www.google.com/maps/search/?api=1&query=23.651234,120.155891"
元長鄉,全家元長中山店,17321,雲林縣元長鄉中山路65號,23.648512,120.314891,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro,花生故鄉核心",元長市區中心，台19線與145線交匯商圈，黑金剛花生特產巡禮與車友補水站。,"元長市區,花生之鄉,Gogoro,台19線,洗手間",FM-YL-054,"https://www.google.com/maps/search/?api=1&query=23.648512,120.314891"
元長鄉,全家元長鹿寮店,19812,雲林縣元長鄉鹿寮路18號,23.629123,120.335123,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,145縣道,朝聖路線",縣道145線往北港必經鹿寮聚落，單車南下朝聖與田野騎乘的友善補水門市。,"鹿寮聚落,145縣道,朝聖路線,洗手間",FM-YL-055,"https://www.google.com/maps/search/?api=1&query=23.629123,120.335123"
口湖鄉,全家口湖金湖店,17892,雲林縣口湖鄉港東村港東街50號 (萬善爺廟/箔仔寮旁),23.608123,120.157891,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro,台17線西濱,萬善爺廟旁",台17線濱海公路與金湖萬善爺廟旁，西濱長征車友最重要的換電、水廁與霜淇淋補給站。,"台17線西濱,金湖聚落,Gogoro換電,霜淇淋,洗手間",FM-YL-056,"https://www.google.com/maps/search/?api=1&query=23.608123,120.157891"
口湖鄉,全家口湖椬梧店,19954,雲林縣口湖鄉文光路15號 (椬梧滯洪池/口湖遊客中心旁),23.567891,120.169123,24小時營業,提供 (洗手間/無障礙),提供 (景觀休憩區),提供 (Fami!ce 霜淇淋),提供 (Let's Café 單品咖啡),提供 (FamiPort),提供 (ATM),提供 (行動電源租借),無,"洗手間,景觀座位,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,椬梧滯洪池旁,MOOVO站",雲林版小日月潭「椬梧滯洪池」門戶，環湖自行車道出發前買咖啡、補水與如廁首選。,"椬梧滯洪池,小日月潭,景觀座位,霜淇淋,MOOVO站旁",FM-YL-057,"https://www.google.com/maps/search/?api=1&query=23.567891,120.169123"
水林鄉,全家水林水林店,17432,雲林縣水林鄉水林路15號 (水林公所/顏思齊故事館旁),23.571891,120.246123,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café 單品咖啡),提供 (FamiPort),提供 (ATM),提供 (行動電源租借),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro,顏思齊故事館旁,MOOVO站",開台第一鄉政務核心，鄰近公所與顏思齊故事館，具備 Gogoro 換電、霜淇淋與水廁。,"開台第一鄉,水林公所旁,Gogoro,MOOVO站,霜淇淋",FM-YL-058,"https://www.google.com/maps/search/?api=1&query=23.571891,120.246123"
水林鄉,全家水林蕃薯店,19991,雲林縣水林鄉蕃薯厝85號 (蕃薯寮媽順天宮旁),23.551891,120.261876,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,蕃薯寮媽旁,黃金番薯之鄉",水林蕃薯寮媽大廟旁門市，探訪黃金番薯產區與在地宗教文化的溫馨補給站點。,"蕃薯寮媽旁,黃金番薯,農村大廟,洗手間,霜淇淋",FM-YL-059,"https://www.google.com/maps/search/?api=1&query=23.551891,120.261876"
斗六市,全家斗六後站店,013589,雲林縣斗六市武昌路105號 (斗六火車站後站出口),23.711832,120.544712,24小時營業,提供 (顧客洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源租借),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro,後站出口,MOOVO站旁",斗六火車站後站出口直達，銜接後站MOOVO站點與武昌路商圈，轉乘補給超便利。,"火車站後站,MOOVO旁,Gogoro,霜淇淋,洗手間",FM-YL-060,"https://www.google.com/maps/search/?api=1&query=23.711832,120.544712"
斗六市,全家斗六莊敬店,014890,雲林縣斗六市莊敬路320號 (成大斗六分院周邊),23.707812,120.551234,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,成大醫院旁,繪本館周邊",鄰近成大醫院斗六分院與繪本館，提供就醫、探病及文教動線的溫馨水廁站。,"成大分院旁,繪本館周邊,洗手間,霜淇淋",FM-YL-061,"https://www.google.com/maps/search/?api=1&query=23.707812,120.551234"
斗六市,全家斗六文化店,015234,雲林縣斗六市文化路200號 (斗六高中正對面),23.714123,120.545678,24小時營業,提供 (洗手間),提供 (大座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源租借),無,"洗手間,大座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,斗六高中對面,學生通學",斗六高中正對面，學生通學與單車漫遊市區的核心熱門加水與歇腳門市。,"斗六高中對面,大座位區,學生熱點,洗手間",FM-YL-062,"https://www.google.com/maps/search/?api=1&query=23.714123,120.545678"
斗六市,全家斗六成功店,016120,雲林縣斗六市成功路70號 (斗六家商旁),23.703123,120.548543,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,斗六家商旁,南聖宮動線",斗六家商旁生活商圈，往南聖宮動線上重要的水廁與咖啡補給處。,"斗六家商旁,成功路商圈,洗手間,霜淇淋",FM-YL-063,"https://www.google.com/maps/search/?api=1&query=23.703123,120.548543"
虎尾鎮,全家虎尾立仁店,014902,雲林縣虎尾鎮立仁路130號,23.705123,120.441234,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,立仁國小旁,住宅商圈",虎尾東側住宅核心，鄰近立仁國小與虎尾圖書館，環境整潔水廁便利。,"立仁商圈,圖書館周邊,洗手間,霜淇淋",FM-YL-064,"https://www.google.com/maps/search/?api=1&query=23.705123,120.441234"
虎尾鎮,全家虎尾大屯店,017612,雲林縣虎尾鎮大屯路50號 (158縣道旁),23.689812,120.414512,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro,158縣道,大屯聚落",158縣道橫貫大屯聚落重要門市，前往褒忠、土庫的田園公路補給大站。,"158縣道,大屯聚落,Gogoro,洗手間,霜淇淋",FM-YL-065,"https://www.google.com/maps/search/?api=1&query=23.689812,120.414512"
麥寮鄉,全家麥寮泰安店,018445,雲林縣麥寮鄉泰安路88號,23.751234,120.258912,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro,麥寮外環",麥寮市區東側聯外幹道門市，設有換電站與寬敞內用區，水廁維護優良。,"麥寮外環,Gogoro換電,洗手間,霜淇淋",FM-YL-066,"https://www.google.com/maps/search/?api=1&query=23.751234,120.258912"
麥寮鄉,全家麥寮後安店,019512,雲林縣麥寮鄉後安路60號 (後安聚落旁),23.762145,120.228765,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,後安聚落,工業區周邊",麥寮西側後安聚落重要補給點，深入工業區與沿海漁塭走廊的救急水廁門市。,"後安聚落,沿海中繼,洗手間,霜淇淋",FM-YL-067,"https://www.google.com/maps/search/?api=1&query=23.762145,120.228765"
西螺鎮,全家西螺新街店,015489,雲林縣西螺鎮新街路80號 (廣福宮老大媽旁),23.799123,120.464512,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,廣福宮旁,新街商圈",西螺三大古廟廣福宮老大媽旁門市，老街東側巡禮最佳加水歇腳處。,"廣福宮旁,新街商圈,老街巡禮,洗手間",FM-YL-068,"https://www.google.com/maps/search/?api=1&query=23.799123,120.464512"
西螺鎮,全家西螺吳厝店,018115,雲林縣西螺鎮吳厝里吳厝55號 (朝興宮旁),23.754512,120.436781,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro,朝興宮旁,高鐵特定區交界",吳厝朝興宮旁，西螺往虎尾高鐵特區重要中繼門市，提供換電與水廁支援。,"吳厝朝興宮,高鐵聯絡道,Gogoro,洗手間",FM-YL-069,"https://www.google.com/maps/search/?api=1&query=23.754512,120.436781"
斗南鎮,全家斗南四維店,017894,雲林縣斗南鎮四維路150號,23.666123,120.473412,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,斗南西側,往大埤幹道",斗南西側往大埤鄉幹道門市，單車鄉村騎行舒適便利的水廁補給站。,"往大埤幹道,斗南西側,洗手間,霜淇淋",FM-YL-070,"https://www.google.com/maps/search/?api=1&query=23.666123,120.473412"
北港鎮,全家北港大同店,018512,雲林縣北港鎮大同路180號,23.573891,120.302145,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro,北港市區核心",北港市區大同路生活商圈，設有換電站與寬敞內用座位，補水吹冷氣首選。,"大同商圈,Gogoro換電,市區核心,洗手間",FM-YL-071,"https://www.google.com/maps/search/?api=1&query=23.573891,120.302145"
