站點代碼,來源分類,行政區,站點名稱,站點細項分類,緯度(Latitude),經度(Longitude),詳細地址/位置,飲水機補水資訊,洗手間/公廁資訊,充氣/單車設施,開放/營業時間,網站小卡文案簡介,特色標籤,Google地圖連結,特色標籤
POL-YL-013,派出所/鐵馬驛站,斗南鎮,斗南派出所 (鐵馬驛站),斗南分局,23.678912,120.482145,雲林縣斗南鎮延平路一段168號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局斗南分局斗南派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.678912,120.482145","24H水廁,冷熱飲水,打氣補胎,斗南鎮"
POL-YL-014,派出所/鐵馬驛站,斗南鎮,新光派出所 (鐵馬驛站),斗南分局,23.701234,120.495612,雲林縣斗南鎮延平路三段120號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局斗南分局新光派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.701234,120.495612","24H水廁,冷熱飲水,打氣補胎,斗南鎮"
POL-YL-015,派出所/鐵馬驛站,斗南鎮,四維派出所 (鐵馬驛站),斗南分局,23.665432,120.472145,雲林縣斗南鎮四維路125號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局斗南分局四維派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.665432,120.472145","24H水廁,冷熱飲水,打氣補胎,斗南鎮"
POL-YL-016,派出所/鐵馬驛站,斗南鎮,建國派出所 (鐵馬驛站),斗南分局,23.678123,120.458912,雲林縣斗南鎮阿丹里建國三路1號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局斗南分局建國派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.678123,120.458912","24H水廁,冷熱飲水,打氣補胎,斗南鎮"
POL-YL-017,派出所/鐵馬驛站,斗南鎮,新崙派出所 (鐵馬驛站),斗南分局,23.691234,120.478912,雲林縣斗南鎮埤麻里新崙路85號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局斗南分局新崙派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.691234,120.478912","24H水廁,冷熱飲水,打氣補胎,斗南鎮"
POL-YL-018,派出所/鐵馬驛站,古坑鄉,古坑分駐所 (鐵馬驛站),斗南分局,23.644123,120.561234,雲林縣古坑鄉中山路132號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局斗南分局古坑分駐所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.644123,120.561234","24H水廁,冷熱飲水,打氣補胎,古坑鄉"
POL-YL-019,派出所/鐵馬驛站,古坑鄉,永光派出所 (鐵馬驛站),斗南分局,23.619812,120.568912,雲林縣古坑鄉永光村光興路2號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局斗南分局永光派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.619812,120.568912","24H水廁,冷熱飲水,打氣補胎,古坑鄉"
POL-YL-020,派出所/鐵馬驛站,古坑鄉,華山派出所 (鐵馬驛站),斗南分局,23.593214,120.596871,雲林縣古坑鄉華山村華山50號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局斗南分局華山派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.593214,120.596871","24H水廁,冷熱飲水,打氣補胎,古坑鄉"
POL-YL-021,派出所/鐵馬驛站,古坑鄉,樟湖派出所 (鐵馬驛站),斗南分局,23.608765,120.638912,雲林縣古坑鄉樟湖村石橋50號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局斗南分局樟湖派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.608765,120.638912","24H水廁,冷熱飲水,打氣補胎,古坑鄉"
POL-YL-022,派出所/鐵馬驛站,古坑鄉,草嶺派出所 (鐵馬驛站),斗南分局,23.598712,120.695432,雲林縣古坑鄉草嶺村草嶺40號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局斗南分局草嶺派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.598712,120.695432","24H水廁,冷熱飲水,打氣補胎,古坑鄉"
POL-YL-023,派出所/鐵馬驛站,古坑鄉,東和派出所 (鐵馬驛站),斗南分局,23.635678,120.578912,雲林縣古坑鄉東和村文化路10號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局斗南分局東和派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.635678,120.578912","24H水廁,冷熱飲水,打氣補胎,古坑鄉"
POL-YL-024,派出所/鐵馬驛站,大埤鄉,大埤分駐所 (鐵馬驛站),斗南分局,23.645123,120.431245,雲林縣大埤鄉南門街32號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局斗南分局大埤分駐所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.645123,120.431245","24H水廁,冷熱飲水,打氣補胎,大埤鄉"
POL-YL-025,派出所/鐵馬驛站,大埤鄉,怡美派出所 (鐵馬驛站),斗南分局,23.638912,120.401234,雲林縣大埤鄉怡中村吉田路1號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局斗南分局怡美派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.638912,120.401234","24H水廁,冷熱飲水,打氣補胎,大埤鄉"
POL-YL-026,派出所/鐵馬驛站,虎尾鎮,虎尾派出所 (鐵馬驛站),虎尾分局,23.708123,120.432145,雲林縣虎尾鎮光明路86號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局虎尾分局虎尾派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.708123,120.432145","24H水廁,冷熱飲水,打氣補胎,虎尾鎮"
POL-YL-027,派出所/鐵馬驛站,虎尾鎮,埒內派出所 (鐵馬驛站),虎尾分局,23.723145,120.448912,雲林縣虎尾鎮埒內45號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局虎尾分局埒內派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.723145,120.448912","24H水廁,冷熱飲水,打氣補胎,虎尾鎮"
POL-YL-028,派出所/鐵馬驛站,虎尾鎮,惠來派出所 (鐵馬驛站),虎尾分局,23.738912,120.485612,雲林縣虎尾鎮惠來里惠來112號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局虎尾分局惠來派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.738912,120.485612","24H水廁,冷熱飲水,打氣補胎,虎尾鎮"
POL-YL-029,派出所/鐵馬驛站,虎尾鎮,大屯派出所 (鐵馬驛站),虎尾分局,23.689123,120.415678,雲林縣虎尾鎮東屯里大屯18號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局虎尾分局大屯派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.689123,120.415678","24H水廁,冷熱飲水,打氣補胎,虎尾鎮"
POL-YL-030,派出所/鐵馬驛站,土庫鎮,土庫分駐所 (鐵馬驛站),虎尾分局,23.692145,120.361234,雲林縣土庫鎮中正路150號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局虎尾分局土庫分駐所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.692145,120.361234","24H水廁,冷熱飲水,打氣補胎,土庫鎮"
POL-YL-031,派出所/鐵馬驛站,土庫鎮,秀潭派出所 (鐵馬驛站),虎尾分局,23.664512,120.351234,雲林縣土庫鎮秀潭里秀潭70號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局虎尾分局秀潭派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.664512,120.351234","24H水廁,冷熱飲水,打氣補胎,土庫鎮"
POL-YL-032,派出所/鐵馬驛站,土庫鎮,馬光派出所 (鐵馬驛站),虎尾分局,23.675678,120.321234,雲林縣土庫鎮馬光路120號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局虎尾分局馬光派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.675678,120.321234","24H水廁,冷熱飲水,打氣補胎,土庫鎮"
POL-YL-033,派出所/鐵馬驛站,褒忠鄉,褒忠分駐所 (鐵馬驛站),虎尾分局,23.694512,120.311234,雲林縣褒忠鄉中勝路58號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局虎尾分局褒忠分駐所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.694512,120.311234","24H水廁,冷熱飲水,打氣補胎,褒忠鄉"
POL-YL-034,派出所/鐵馬驛站,褒忠鄉,龍巖派出所 (鐵馬驛站),虎尾分局,23.721245,120.298765,雲林縣褒忠鄉龍巖村龍巖125號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局虎尾分局龍巖派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.721245,120.298765","24H水廁,冷熱飲水,打氣補胎,褒忠鄉"
POL-YL-035,派出所/鐵馬驛站,元長鄉,元長分駐所 (鐵馬驛站),虎尾分局,23.648912,120.315678,雲林縣元長鄉元長村中山路48號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局虎尾分局元長分駐所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.648912,120.315678","24H水廁,冷熱飲水,打氣補胎,元長鄉"
POL-YL-036,派出所/鐵馬驛站,元長鄉,鹿寮派出所 (鐵馬驛站),虎尾分局,23.628912,120.334512,雲林縣元長鄉鹿寮村鹿寮路35號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局虎尾分局鹿寮派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.628912,120.334512","24H水廁,冷熱飲水,打氣補胎,元長鄉"
POL-YL-037,派出所/鐵馬驛站,元長鄉,客厝派出所 (鐵馬驛站),虎尾分局,23.621234,120.285612,雲林縣元長鄉客厝村客厝路50號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局虎尾分局客厝派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.621234,120.285612","24H水廁,冷熱飲水,打氣補胎,元長鄉"
POL-YL-038,派出所/鐵馬驛站,西螺鎮,西螺派出所 (鐵馬驛站),西螺分局,23.801234,120.463412,雲林縣西螺鎮延平路102號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局西螺分局西螺派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.801234,120.463412","24H水廁,冷熱飲水,打氣補胎,西螺鎮"
POL-YL-039,派出所/鐵馬驛站,西螺鎮,和心派出所 (鐵馬驛站),西螺分局,23.771234,120.448912,雲林縣西螺鎮安定里市後18號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局西螺分局和心派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.771234,120.448912","24H水廁,冷熱飲水,打氣補胎,西螺鎮"
POL-YL-040,派出所/鐵馬驛站,西螺鎮,埤源派出所 (鐵馬驛站),西螺分局,23.784512,120.485614,雲林縣西螺鎮埤頭里埤頭75號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局西螺分局埤源派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.784512,120.485614","24H水廁,冷熱飲水,打氣補胎,西螺鎮"
POL-YL-041,派出所/鐵馬驛站,西螺鎮,吳厝派出所 (鐵馬驛站),西螺分局,23.754123,120.435678,雲林縣西螺鎮吳厝里吳厝68號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局西螺分局吳厝派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.754123,120.435678","24H水廁,冷熱飲水,打氣補胎,西螺鎮"
POL-YL-042,派出所/鐵馬驛站,二崙鄉,二崙分駐所 (鐵馬驛站),西螺分局,23.771234,120.415678,雲林縣二崙鄉崙西村中興路3號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局西螺分局二崙分駐所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.771234,120.415678","24H水廁,冷熱飲水,打氣補胎,二崙鄉"
POL-YL-043,派出所/鐵馬驛站,二崙鄉,油車派出所 (鐵馬驛站),西螺分局,23.788912,120.381234,雲林縣二崙鄉油車村文化路58號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局西螺分局油車派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.788912,120.381234","24H水廁,冷熱飲水,打氣補胎,二崙鄉"
POL-YL-044,派出所/鐵馬驛站,二崙鄉,永定派出所 (鐵馬驛站),西螺分局,23.791234,120.395678,雲林縣二崙鄉永定村永定路125號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局西螺分局永定派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.791234,120.395678","24H水廁,冷熱飲水,打氣補胎,二崙鄉"
POL-YL-045,派出所/鐵馬驛站,崙背鄉,崙背分駐所 (鐵馬驛站),西螺分局,23.759812,120.354123,雲林縣崙背鄉民權路114號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局西螺分局崙背分駐所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.759812,120.354123","24H水廁,冷熱飲水,打氣補胎,崙背鄉"
POL-YL-046,派出所/鐵馬驛站,崙背鄉,豐榮派出所 (鐵馬驛站),西螺分局,23.778912,120.311234,雲林縣崙背鄉豐榮村豐榮118號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局西螺分局豐榮派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.778912,120.311234","24H水廁,冷熱飲水,打氣補胎,崙背鄉"
POL-YL-047,派出所/鐵馬驛站,北港鎮,北港派出所 (鐵馬驛站),北港分局,23.568123,120.304512,雲林縣北港鎮民主路137號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局北港分局北港派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.568123,120.304512","24H水廁,冷熱飲水,打氣補胎,北港鎮"
POL-YL-048,派出所/鐵馬驛站,北港鎮,北辰派出所 (鐵馬驛站),北港分局,23.578912,120.306781,雲林縣北港鎮華勝路212號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局北港分局北辰派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.578912,120.306781","24H水廁,冷熱飲水,打氣補胎,北港鎮"
POL-YL-049,派出所/鐵馬驛站,北港鎮,好收派出所 (鐵馬驛站),北港分局,23.596781,120.273412,雲林縣北港鎮好收里好收路23號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局北港分局好收派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.596781,120.273412","24H水廁,冷熱飲水,打氣補胎,北港鎮"
POL-YL-050,派出所/鐵馬驛站,水林鄉,水林分駐所 (鐵馬驛站),北港分局,23.571432,120.245678,雲林縣水林鄉水林路25號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局北港分局水林分駐所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.571432,120.245678","24H水廁,冷熱飲水,打氣補胎,水林鄉"
POL-YL-051,派出所/鐵馬驛站,水林鄉,宏仁派出所 (鐵馬驛站),北港分局,23.593412,120.218765,雲林縣水林鄉蘇秦村蘇秦12號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局北港分局宏仁派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.593412,120.218765","24H水廁,冷熱飲水,打氣補胎,水林鄉"
POL-YL-052,派出所/鐵馬驛站,水林鄉,蔦松派出所 (鐵馬驛站),北港分局,23.538912,120.215678,雲林縣水林鄉松北村蔦松路150號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局北港分局蔦松派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.538912,120.215678","24H水廁,冷熱飲水,打氣補胎,水林鄉"
POL-YL-053,派出所/鐵馬驛站,水林鄉,土厝派出所 (鐵馬驛站),北港分局,23.556781,120.231234,雲林縣水林鄉土厝村土厝路88號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局北港分局土厝派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.556781,120.231234","24H水廁,冷熱飲水,打氣補胎,水林鄉"
POL-YL-054,派出所/鐵馬驛站,口湖鄉,口湖分駐所 (鐵馬驛站),北港分局,23.581234,120.188765,雲林縣口湖鄉口湖路104號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局北港分局口湖分駐所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.581234,120.188765","24H水廁,冷熱飲水,打氣補胎,口湖鄉"
POL-YL-055,派出所/鐵馬驛站,口湖鄉,金湖派出所 (鐵馬驛站),北港分局,23.608912,120.158765,雲林縣口湖鄉港東街105號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局北港分局金湖派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.608912,120.158765","24H水廁,冷熱飲水,打氣補胎,口湖鄉"
POL-YL-056,派出所/鐵馬驛站,口湖鄉,下崙派出所 (鐵馬驛站),北港分局,23.625412,120.161234,雲林縣口湖鄉崙中村福安路1號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局北港分局下崙派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.625412,120.161234","24H水廁,冷熱飲水,打氣補胎,口湖鄉"
POL-YL-057,派出所/鐵馬驛站,口湖鄉,椬梧派出所 (鐵馬驛站),北港分局,23.565432,120.168912,雲林縣口湖鄉梧南村文光路20號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局北港分局椬梧派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.565432,120.168912","24H水廁,冷熱飲水,打氣補胎,口湖鄉"
POL-YL-058,派出所/鐵馬驛站,臺西鄉,臺西派出所 (鐵馬驛站),臺西分局,23.702145,120.196543,雲林縣臺西鄉中山路108號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局臺西分局臺西派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.702145,120.196543","24H水廁,冷熱飲水,打氣補胎,臺西鄉"
POL-YL-059,派出所/鐵馬驛站,臺西鄉,海口派出所 (鐵馬驛站),臺西分局,23.705612,120.178912,雲林縣臺西鄉海口路16號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局臺西分局海口派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.705612,120.178912","24H水廁,冷熱飲水,打氣補胎,臺西鄉"
POL-YL-060,派出所/鐵馬驛站,麥寮鄉,麥寮分駐所 (鐵馬驛站),臺西分局,23.748123,120.254123,雲林縣麥寮鄉中正路63號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局臺西分局麥寮分駐所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.748123,120.254123","24H水廁,冷熱飲水,打氣補胎,麥寮鄉"
POL-YL-061,派出所/鐵馬驛站,麥寮鄉,橋頭派出所 (鐵馬驛站),臺西分局,23.771234,120.251234,雲林縣麥寮鄉橋頭村仁德路12號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局臺西分局橋頭派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.771234,120.251234","24H水廁,冷熱飲水,打氣補胎,麥寮鄉"
POL-YL-062,派出所/鐵馬驛站,麥寮鄉,崙豐派出所 (鐵馬驛站),臺西分局,23.741234,120.208765,雲林縣麥寮鄉崙後村崙後路28號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局臺西分局崙豐派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.741234,120.208765","24H水廁,冷熱飲水,打氣補胎,麥寮鄉"
POL-YL-063,派出所/鐵馬驛站,東勢鄉,東勢分駐所 (鐵馬驛站),臺西分局,23.676543,120.256781,雲林縣東勢鄉東勢東路68號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局臺西分局東勢分駐所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.676543,120.256781","24H水廁,冷熱飲水,打氣補胎,東勢鄉"
POL-YL-064,派出所/鐵馬驛站,東勢鄉,安南派出所 (鐵馬驛站),臺西分局,23.654123,120.231245,雲林縣東勢鄉安南村安南路52號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局臺西分局安南派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.654123,120.231245","24H水廁,冷熱飲水,打氣補胎,東勢鄉"
POL-YL-065,派出所/鐵馬驛站,四湖鄉,四湖分駐所 (鐵馬驛站),臺西分局,23.637812,120.225678,雲林縣四湖鄉中山路45號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局臺西分局四湖分駐所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.637812,120.225678","24H水廁,冷熱飲水,打氣補胎,四湖鄉"
POL-YL-066,派出所/鐵馬驛站,四湖鄉,三條崙派出所 (鐵馬驛站),臺西分局,23.649812,120.155432,雲林縣四湖鄉崙北村中山路54號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局臺西分局三條崙派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.649812,120.155432","24H水廁,冷熱飲水,打氣補胎,四湖鄉"
POL-YL-067,派出所/鐵馬驛站,四湖鄉,飛沙派出所 (鐵馬驛站),臺西分局,23.621245,120.181234,雲林縣四湖鄉飛沙村飛沙路32號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局臺西分局飛沙派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.621245,120.181234","24H水廁,冷熱飲水,打氣補胎,四湖鄉"
POL-YL-068,派出所/鐵馬驛站,四湖鄉,林厝派出所 (鐵馬驛站),臺西分局,23.615678,120.201234,雲林縣四湖鄉林東村中華路150號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局臺西分局林厝派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.615678,120.201234","24H水廁,冷熱飲水,打氣補胎,四湖鄉"
